Note,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States,,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States
,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA,,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA
,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,,M_AUS,M_CAN,M_DEN,M_GBR,M_JPN,M_KOR,M_NOR,M_SWE,M_CHE,M_AUT,M_BEL,M_FRA,M_GER,M_ESP,M_ITA,M_FIN,M_NET,M_USA
1973.1,9.9686196475,10.6893734276,11.1238011165,8.4945385009,18.2622241403,14.2778177706,11.0456381432,11.8045572271,11.7294712991,12.5874158115,13.5820641137,13.7244144863,12.9663409469,14.935577703,18.1166795697,10.1596789579,11.4908638882,13.6372208623,1973.1,21346,43887,67765,4888,85346000,1587733,62670,133861,124178,292850,791800,912930,427770,3065060,73786000,25840,97818,836700
1973.2,9.9944245475,10.7411029748,11.1820714167,8.5362111973,18.3168080099,14.3342989942,11.0963488521,11.8162323321,11.7411202374,12.6243058929,13.6382959385,13.7527943754,12.980845895,14.995905578,18.1650914773,10.1911446247,11.5372082375,13.6614627062,1973.2,21904,46217,71831,5096,90134000,1679991,65930,135433,125633,303855,837600,939210,434020,3255660,77446000,26666,102458,857231
1973.3,10.0624551836,10.7894221644,11.2096964967,8.5539107744,18.3463019659,14.4106738375,11.1049572266,11.8456621617,11.7569064022,12.6405203381,13.6342284607,13.7696132056,12.9853745863,15.0457240443,18.1962613791,10.2073997018,11.5596563675,13.650313929,1973.3,23446,48505,73843,5187,92832000,1813327,66500,139478,127632,308822,834200,955140,435990,3421960,79898000,27103,104784,847727
1973.4,10.1176307217,10.8490846276,11.2420611774,8.6292710948,18.4023945663,14.4988412137,11.1526726997,11.8902928363,11.7913372003,12.6859275908,13.6826646446,13.8057228139,13.0554112793,15.1266098178,18.2946071867,10.2980265205,11.5724483036,13.7012741008,1973.4,24776,51487,76272,5593,98188000,1980463,69750,145844,132103,323168,875600,990260,467620,3710250,88155000,29674,106133,892047
1974.1,10.1454528581,10.9079906066,11.2228137767,8.5978510944,18.4028833049,14.5459968749,11.1569645518,11.9402890418,11.7917610221,12.6983849505,13.7228468731,13.8291076965,13.03928607,15.1383378238,18.3089108431,10.2923828023,11.6172404342,13.7104122302,1974.1,25475,54611,74818,5420,98236000,2076090,70050,153321,132159,327219,911500,1013690,460140,3754020,89425000,29507,110995,900236
1974.2,10.1300253369,10.982254213,11.2589747075,8.6260475963,18.4420507697,14.5692729485,11.1867797261,11.9430571691,11.8074143186,12.733129822,13.7483018083,13.8358032612,13.0502441955,15.1827928292,18.3297270608,10.3298984252,11.6785585405,13.7142007161,1974.2,25085,58821,77573,5575,102160000,2124980,72170,153746,134244,338788,935000,1020500,465210,3924670,91306000,30635,118014,903653
1974.3,10.1268310839,11.0258489194,11.2726993337,8.6803319288,18.4493459432,14.6744009644,11.2031341069,11.9607090473,11.8251635553,12.7621020099,13.7406792473,13.843680046,13.0491042756,15.2128165677,18.3460110756,10.3624302344,11.6919666472,13.7080099762,1974.3,25005,61442,78645,5886,102908000,2360540,73360,156484,136648,348747,927900,1028570,464680,4044290,92805000,31648,119607,898076
1974.4,10.2052574243,11.0245297332,11.3229869728,8.7721454392,18.5113803112,14.7142481306,11.2570004241,11.9799433914,11.6753588908,12.803886646,13.7660051381,13.9009724017,13.1251395204,15.3013221459,18.4002331087,10.4602994131,11.708015161,13.7529679104,1974.4,27045,61361,82701,6452,109494000,2456500,77420,159523,117637,363628,951700,1089220,501390,4418550,97976000,34902,121542,939373
