Note,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States,,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States
,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA,,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA
,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,,P_AUS,P_CAN,P_DEN,P_GBR,P_JPN,P_KOR,P_NOR,P_SWE,P_CHE,P_AUT,P_BEL,P_FRA,P_GER,P_ESP,P_ITA,P_FIN,P_NET,P_USA
1973.1,2.7712315517,3.1716961631,3.04540776,2.5952770948,3.6172518648,2.2425452377,3.0077398927,2.9335695945,3.7738890372,3.5797117001,3.3879973094,3.052717339,3.7619161384,2.122160935,2.1632356655,2.8929240536,3.6109179126,3.2169379484,1973.1,15.9783,23.8479,21.0186,13.4003,37.2351,9.41727,20.2416,18.7946,43.5491,35.8632,29.6066,21.1728,43.0308,8.34916,8.69924,18.046,37,24.9516
1973.2,2.8036754828,3.19411581,3.0770034571,2.6260734021,3.6659587707,2.2523922455,3.0295489883,2.9511323182,3.7910298228,3.5912831631,3.4013507032,3.0726470173,3.7813221174,2.1569545138,2.1972256884,2.9150589504,3.6402142821,3.2387137457,1973.2,16.5052,24.3886,21.6933,13.8194,39.0936,9.51046,20.6879,19.1276,44.302,36.2806,30.0046,21.599,43.87401,8.64477,9.00001,18.4499,38.1,25.5009
1973.3,2.8394058953,3.2221783655,3.1006596954,2.6411266157,3.6947322928,2.2674914518,3.0421863779,2.9646130545,3.80501224,3.6048971213,3.4150016626,3.0966042307,3.7911925561,2.1989996676,2.2200976494,2.9640816349,3.6480574596,3.2605205209,1973.3,17.1056,25.0827,22.2126,14.029,40.2348,9.65515,20.951,19.3872,44.9258,36.7779,30.417,22.1227,44.30921,9.01599,9.20823,19.3769,38.4,26.0631
1973.4,2.8745923599,3.2400774731,3.1373490165,2.6750930309,3.736006331,2.295295589,3.0621939443,2.9876295349,3.851325631,3.6322905839,3.4347127477,3.1234920424,3.8100438775,2.2356811097,2.2449136064,2.9884357183,3.6712245189,3.2835618351,1973.4,17.7182,25.5357,23.0427,14.5137,41.9302,9.92737,21.3744,19.8386,47.0554,37.7993,31.0225,22.7256,45.15242,9.35285,9.4396,19.8546,39.3,26.6706
1974.1,2.8985107683,3.2638262457,3.1756509457,2.7143900616,3.8259290257,2.4069090716,3.0943279593,3.026920815,3.8728080523,3.6612384367,3.4690335845,3.160059567,3.8338545236,2.2592881633,2.2974308326,3.028581772,3.696351469,3.3112799681,1974.1,18.1471,26.1494,23.9424,15.0954,45.8754,11.0996,22.0724,20.6336,48.0772,38.9095,32.1057,23.572,46.24043,9.57627,9.94859,20.6679,40.3,27.4202
1974.2,2.9382249753,3.2965366211,3.2135215161,2.7735694911,3.8697332676,2.4671499282,3.1133286251,3.0355825962,3.8808295078,3.6853682972,3.5102401096,3.1998153221,3.8496121392,2.3062683016,2.3495354706,3.076666891,3.7256934272,3.339169484,1974.2,18.8823,27.0189,24.8665,16.0157,47.9296,11.7888,22.4958,20.8131,48.4644,39.8598,33.4563,24.528,46.97484,10.0369,10.4807,21.686,41.5,28.1957
1974.3,2.9882191204,3.3261109823,3.2506496479,2.7965310534,3.9051514503,2.5112970074,3.1349636404,3.0523441492,3.905380996,3.7004052759,3.5516125216,3.2325420156,3.8588340206,2.3409304231,2.405349241,3.1190289699,3.742420221,3.3692009107,1974.3,19.8503,27.8299,25.8071,16.3877,49.6576,12.3209,22.9878,21.1649,49.669,40.4637,34.8695,25.344,47.41004,10.3909,11.0823,22.6244,42.2,29.0553
1974.4,3.025184274,3.3533018172,3.2879726909,2.8409305485,3.9469460352,2.5376176887,3.1585736511,3.0993352456,3.9354582425,3.7246905148,3.5825740477,3.2632983696,3.8725095294,2.3903028871,2.4660975288,3.1516713532,3.7750571504,3.3979186793,1974.4,20.5978,28.597,26.7885,17.1317,51.777,12.6495,23.537,22.1832,51.1856,41.4584,35.966,26.1356,48.06285,10.9168,11.7764,23.3751,43.6,29.9018
1975.1,3.0602551696,3.3747883803,3.3020692561,2.8997388604,3.9668955865,2.6049094422,3.2009317893,3.1095831439,3.9498523665,3.7507010064,3.6111368076,3.2906493601,3.8910130336,2.4304240645,2.5008456136,3.1980280116,3.7954891892,3.4159119232,1975.1,21.333,29.2181,27.1688,18.1694,52.8203,13.53,24.5554,22.4117,51.9277,42.5509,37.0081,26.8603,48.96046,11.3637,12.1928,24.4842,44.5,30.4447
1975.2,3.0946903372,3.3963087853,3.3220351196,2.9903327222,3.9942958399,2.6899948464,3.2221424835,3.131363959,3.9619991327,3.7670550352,3.6370913005,3.3146150035,3.910270671,2.4646104007,2.5270637527,3.2427720228,3.8242840911,3.4314970097,1975.2,22.0804,29.8537,27.7167,19.8923,54.2876,14.7316,25.0818,22.9052,52.5623,43.2525,37.9812,27.5118,49.91246,11.7589,12.5167,25.6046,45.8,30.9229
1975.3,3.1024318922,3.4297621625,3.3406013011,3.0327293624,4.0038598876,2.7461549071,3.2522487035,3.1614797357,3.9683220501,3.7849643338,3.6597466861,3.3362925712,3.9178712709,2.5019112486,2.5471926359,3.2770503889,3.8437441647,3.4525905044,1975.3,22.252,30.8693,28.2361,20.7538,54.8093,15.5826,25.8484,23.6055,52.8957,44.0341,38.8515,28.1147,50.29327,12.2058,12.7712,26.4975,46.7,31.5821
1975.4,3.1565535128,3.4501462634,3.3330398754,3.0670384672,4.0296975908,2.7785210909,3.2684961206,3.1849135817,3.9746052393,3.7937978721,3.6881842125,3.3579314309,3.9254143399,2.5272155383,2.5740082019,3.3143387203,3.8649313979,3.4684229145,1975.4,23.4895,31.505,28.0234,21.4782,56.2439,16.0952,26.2718,24.1652,53.2291,44.4248,39.9722,28.7297,50.67407,12.5186,13.1183,27.5042,47.7,32.0861
