Note,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States,,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States
,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA,,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA
,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,,Y_AUS,Y_CAN,Y_DEN,Y_GBR,Y_JPN,Y_KOR,Y_NOR,Y_SWE,Y_CHE,Y_AUT,Y_BEL,Y_FRA,Y_GER,Y_ESP,Y_ITA,Y_FIN,Y_NET,Y_USA
1973.1,3.985516932,3.941834203,3.9814557801,4.2607893587,4.0210316585,1.5274922286,3.3882573528,4.2570655546,4.143418813,3.7216733092,4.1870827649,4.3461312864,4.2397831157,4.0044490301,3.9873030048,3.5957439081,4.1888983955,3.8738745172,1973.1,53.8131,51.513,53.595,70.8659,55.7586,4.60661,29.6143,70.6025,63.0179,41.3335,65.8304676219,77.1793,69.3928,54.8416,53.9093,36.4428,65.9501,48.1285
1973.2,4.000332373,3.9563958084,3.9420030781,4.2626657924,4.0413955119,1.5813984554,3.4112203171,4.2730261691,4.1308725507,3.7547631638,4.2026653232,4.3628221535,4.2438874998,4.0235804802,4.1019654494,3.5877461025,4.200254427,3.8807614143,1973.2,54.6163,52.2686,51.5217,70.999,56.9057,4.86175,30.3022,71.7384,62.2322,42.7241,66.8643087447,78.4783,69.6782,55.9009,60.459,36.1525,66.7033,48.4611
1973.3,4.0535138871,3.9628929102,3.9768702289,4.2687389485,4.0549815723,1.6435649054,3.4468620316,4.283252713,4.1413474158,3.7665971534,4.2267869341,4.3779847272,4.2401606053,4.0414201137,4.1394884041,3.6321503599,4.2170502764,3.8883141588,1973.3,57.5995,52.6093,53.3498,71.4315,57.6841,5.17358,31.4017,72.4758,62.8875,43.2327,68.4967935069,79.6773,69.419,56.9071,62.7707,37.794,67.8331,48.8285
1973.4,4.043503797,3.9835191411,3.9883431005,4.2645387117,4.0757171441,1.7046717257,3.4386023448,4.2997951793,4.1502695305,3.786350933,4.2352631341,4.3774838318,4.2486823674,4.0622672078,4.1532044906,3.6533740307,4.236318549,3.9010287899,1973.4,57.0258,53.7057,53.9654,71.1321,58.8927,5.49958,31.1434,73.6847,63.4511,44.0952,69.0798536088,79.6374,70.0131,58.1059,63.6376,38.6047,69.1528,49.4533
1974.1,4.0693241459,4.0088502158,4.0103812624,4.1912943063,4.0746723264,1.7500203876,3.4464798136,4.3129605462,4.1796273628,3.8083122393,4.258555559,4.3990803892,4.2431351883,4.1202721842,4.1543509538,3.656482804,4.257915022,3.8936309029,1974.1,58.5174,55.0835,55.1679,66.1083,58.8312,5.75472,31.3897,74.6612,65.3415,45.0743,70.7077764451,81.376,69.6258,61.576,63.7106,38.7249,70.6625,49.0888
1974.2,4.0653962403,4.0042666701,3.9449973274,4.2747754439,4.0301739734,1.7815374015,3.4755284242,4.3396057063,4.1826835298,3.8211240817,4.2703265771,4.4056894489,4.2438874998,4.0998410952,4.1816072965,3.661893589,4.2606002513,3.8962208057,1974.2,58.288,54.8316,51.6762,71.864,56.2707,5.93898,32.3149,76.6773,65.5415,45.6555,71.5449967609,81.9156,69.6782,60.3307,65.471,38.935,70.8525,49.2161
1974.3,4.0555032438,3.9901167382,3.9047123476,4.2733857445,3.9893062169,1.7886730444,3.4810923861,4.3215093508,4.1540715264,3.8148444814,4.2559923669,4.4104355042,4.2225134774,4.1372763296,4.1446082434,3.6835100647,4.2764202555,3.8896751418,1974.3,57.7142,54.0612,49.6358,71.7642,54.0174,5.98151,32.4952,75.3022,63.6928,45.3697,70.5267709039,82.3053,68.2047,62.632,63.0929,39.7858,71.9823,48.895
1974.4,4.0169990472,3.9757637084,3.8752532063,4.2351103484,3.9385519797,1.7886730444,3.4845055212,4.3158040296,4.0956636918,3.7819598771,4.2261761489,4.3478129653,4.1909372526,4.0675675705,4.0820459096,3.6580309956,4.2417985837,3.8483672945,1974.4,55.5342,53.2908,48.1949,69.0693,51.3442,5.98151,32.6063,74.8738,60.0792,43.902,68.4549694533,77.3092,66.0847,58.4147,59.2666,38.7849,69.5328,46.9164
