Note     AustraliaCanada   Denmark  UK       Japan    Korea    Norway   Sweden   SwitzerlaAustria  Belgium  France   Germany  Spain    Italy    Finland  NetherlandsUnited Stat         AustraliaCanada   Denmark  UK      Japan    Korea    Norway   Sweden   SwitzerlaAustria  Belgium  France   Germany  Spain    Italy    Finland  NetherlanUnited State
         AUS      CAN      DEN      GBR      JPN      KOR      NOR      SWE      CHE      AUT      BEL      FRA      GER      ESP      ITA      FIN      NET        USA                 AUS      CAN      DEN      GBR     JPN      KOR      NOR      SWE      CHE      AUT      BEL      FRA      GER      ESP      ITA      FIN      NET      USA         
         m_1      m_2      m_3      m_4      m_5      m_6      m_7      m_8      m_9      m_10     m_11     m_12     m_13     m_14     m_15     m_16     m_17       m_18                M_AUS    M_CAN    M_DEN    M_GBR   M_JPN    M_KOR    M_NOR    M_SWE    M_CHE    M_AUT    M_BEL    M_FRA    M_GER    M_ESP    M_ITA    M_FIN    M_NET    M_USA       
   1973.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1973.1    21346    43887    67765    4888 85346000  1587733    62670   133861   124178   292850   791800   912930   427770  3065060 73786000    25840    97818      836700
   1973.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1973.2    21904    46217    71831    5096 90134000  1679991    65930   135433   125633   303855   837600   939210   434020  3255660 77446000    26666   102458      857231
   1973.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1973.3    23446    48505    73843    5187 92832000  1813327    66500   139478   127632   308822   834200   955140   435990  3421960 79898000    27103   104784      847727
   1973.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1973.4    24776    51487    76272    5593 98188000  1980463    69750   145844   132103   323168   875600   990260   467620  3710250 88155000    29674   106133      892047
   1974.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1974.1    25475    54611    74818    5420 98236000  2076090    70050   153321   132159   327219   911500  1013690   460140  3754020 89425000    29507   110995      900236
   1974.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1974.2    25085    58821    77573    5575102160000  2124980    72170   153746   134244   338788   935000  1020500   465210  3924670 91306000    30635   118014      903653
   1974.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1974.3    25005    61442    78645    5886102908000  2360540    73360   156484   136648   348747   927900  1028570   464680  4044290 92805000    31648   119607      898076
   1974.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1974.4    27045    61361    82701    6452109494000  2456500    77420   159523   117637   363628   951700  1089220   501390  4418550 97976000    34902   121542      939373
   1975.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###15.305471      ###      ###        ###        ###   1975.1    28820    63709    83416    6285109375000  2585200    77920   167786   118153   375015   982400  1081650   493550  4436920101504000    37052   126280      945952
   1975.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1975.2    28925    66445    91803    6528113823000  2714540    81930   167101   120473   390080  1042600  1106380   502610  4631800105512000    38170   134098      993736
   1975.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1975.3    30758    69267    94984    6702116458000  2974250    84960   172044   122522   402347  1050400  1134090   514680  4836910110150000    38831   134469     1007577
   1975.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1975.4    32605    70787   104985    7186125331000  3150010    89220   178664   126489   430497  1096900  1192150   558750  5256940122269000    42699   137501     1052887
   1976.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1976.1    33178    74832   107116    6956126235000  3337200    90740   187533   128090   437624  1126700  1198380   548590  5270480126573000    42671   145762     1075388
   1976.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1976.2    32868    79567   112924    7279132192000  3545950    95970   183871   130959   456316  1190300  1230950   560270  5518600129043000    43493   154979     1112018
   1976.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1976.3    34673    82908   112168    7534134482000  3764350    97310   187981   131090   469883  1193600  1243320   567880  5740210132187000    43780   157042     1132749
   1976.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1976.4    36592    84382   117299    7988142249000  4204780   104470   187535   137889   503172  1234600  1285340   601010  6269640147317000    46675   159686     1194300
   1977.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1977.1    37514    87138   117322    7700142350000  4431210   107930   198590   138355   505971  1253800  1291390   594110  6314090150671000    47319   170352     1219453
   1977.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1977.2    36333    92158   123293    8139147144000  4769750   111410   190300   142465   526893  1292900  1312490   600830  6601510155459000    49021   175951     1253095
   1977.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1977.3    37148    95589   122582    8256148910000  5401970   114480   198263   142944   532274  1293900  1344550   615990  6903910160230000    49632   174829     1275386
   1977.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1977.4    38759    96187   128188    9122158032000  5874320   121130   205079   147202   548878  1337900  1409310   663220  7440790179246000    51994   180470     1323373
   1978.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1978.1    39808    98548   124758    8898157331000  6342120   121920   221864   152570   560206  1365300  1504500   649010  7511330184928000    53519   188092     1324872
   1978.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1978.2    39244   103283   132268    9225165076000  6579780   124910   219296   155976   582827  1396700  1541300   662870  7952540191973000    56607   197541     1363578
   1978.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1978.3    41070   108567   130296    9528167462000  7126120   127120   229099   155714   598323  1399900  1587400   679760  8336240197987000    57515   198235     1381043
   1978.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1978.4    42825   112482   136441   10362178720000  7928630   134560   240280   163813   627384  1438400  1681100   731210  8953120221833000    59923   201467     1432505
   1979.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1979.1    44306   115700   137603    9989177588000  8190310   136660   256948   166933   634597  1462900  1718300   717300  9079270221859000    61771   209110     1430958
   1979.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1979.2    43869   124497   144169   10352183765000  8310990   141500   247769   169738   650796  1521600  1765600   729050  9522390228112000    65365   219430     1482002
   1979.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1979.3    45271   129407   142828   10725186727000  8992390   145560   259134   170539   655700  1481900  1808500   728670  9786020235983000    66668   218114     1516200
   1979.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1979.4    47797   132368   150378   11620193720000  9877840   153180   265152   179403   678276  1527000  1922500   768970 10551370265411000    70746   223605     1566353
   1980.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1980.1    49478   136490   148489   10994193569000 10276880   153110   287852   181952   689569  1535400  1922000   747070 10716630258789000    71903   228056     1568778
   1980.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1980.2    49512   143279   153428   11295197867000 10662320   156800   275936   178833   705223  1567300  1955200   746940 11142630261323000    75293   236021     1627889
   1980.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1980.3    51669   143750   153957   11523197416000 11438320   160970   285398   178872   723217  1537300  1998100   748970 11578560262217000    77227   234303     1666414
   1980.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1980.4    54495   144928   167990   12243206987000 12534450   171040   308917   180265   765043  1577500  2101600   803900 12318720297853000    81410   236235     1703389
   1981.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1981.1    55781   148144   166299   11755206654000 13013470   171160   314993   185839   781924  1595900  2130700   777950 12328570293093000    82873   247703     1740385
   1981.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1981.2    55998   154159   173802   11931215606000 13399030   177460   303345   188887   790741  1694400  2190400   785520 12810120291839000    87181   255410     1772970
   1981.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1981.3    57472   163915   172390   11889216634000 14265220   183030   311298   188153   796877  1638500  2223700   786900 13312030292327000    89543   254557     1816618
   1981.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1981.4    59882   177541   186209   12555229207000 15671190   190850   349218   195368   843645  1677300  2322700   833540 14268990331552000    94376   254513     1886274
   1982.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1982.1    61153   178530   184767   11729228154000 16269290   194690   356200   194481   863309  1713400  2368500   823540 14485860321928000    95452   267358     1910683
   1982.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1982.2    62061   183837   190987   11960234553000 17288700   197300   353180   195294   876042  1782900  2431600   834100 15097470329503000   100611   275175     1943284
   1982.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1982.3    63778   185822   190591   12155236512000 19012600   200570   348640   225758   887462  1786400  2475400   840210 15693190342112000   102057   272739     2009810
   1982.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1982.4    66226   186410   206825   12948246584000 19904200   210880   376210   231671   936089  1797400  2577700   890880 16567290397024000   107057   268131     2095568
   1983.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1983.1    68597   185899   211413   12431244383000 20181090   210690   388810   228909   941409  1778800  2609300   882450 14738350382937000   109632   278827     2174527
   1983.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1983.2    69761   185899   231605   12678250712000 20972560   213950   375700   232298   959793  1854400  2661700   887680 15054410390626000   114694   285583     2221197
   1983.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1983.3    71729   184546   236818   12830251823000 21979440   217730   380660   235475   969766  1875200  2675300   895180 15426310401392000   115933   280699     2248836
   1983.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1983.4    74992   184661   264306   13849263585000 22938130   230680   402520   240678   984739  1946700  2861100   941740 16082450448694000   121339   281312     2312905
   1984.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1984.1    76765   184154   264809   13030260955000 23021140   235120   406300   245314   977947  1970900  2864600   920470 15345360432666000   124222   290430     2361967
   1984.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1984.2    77071   190647   280981   13339266995000 22908210   239340   382280   248196   993796  2029500  2924200   928590 15687250436656000   128260   301980     2412770
   1984.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1984.3    79963   191308   281309   13575271533000 23759730   251050   384450   252240  1001064  2019800  2964000   938720 16190490447208000   131517   301134     2448463
   1984.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1984.4    83792   196001   309789   14615281809000 24705580   276210   431520   273807  1047291  2034700  3107200   994480 16883300502627000   140246   299713     2567383
   1985.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1985.1    87357   193836   304401   13738283770000 24895320   277070   410590   275068  1050605  2074400  3124100   973270 16532500494934000   144024   313890     2593870
   1985.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1985.2    90651   200958   324703   14023289724000 25718250   279070   391840   276677  1062280  2129000  3139700   981950 17110950500659000   152078   319035     2677596
   1985.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1985.3    95749   202351   327285   14090289848000 27495880   292330   386600   277143  1066591  2077700  3178400   988180 17644480508418000   155130   316120     2722826
   1985.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1985.4    98803   207366   366668   15161306804000 28565330   317940   433890   285228  1110207  2142200  3318300  1074370 18867350555253000   165589   320109     2802205
   1986.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1986.1   100039   210048   365303   14305305596000 29169610   311610   422550   277298  1114264  2209400  3414400  1055640 22460100533459000   167582   329326     2828219
   1986.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1986.2   102672   210307   376796   14477313987000 30486820   317990   429480   283450  1130836  2258500  3408800  1069070 22484000536095000   173605   338231     2925421
   1986.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1986.3   104945   214070   368709   14769315416000 31890520   316410   434020   287895  1137753  2263800  3447700  1082390 23086800547876000   173985   334463     2978626
   1986.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1986.4   108252   222675   401194     ###335307000 33833070   332420   481170   294737  1205873  2366100  3571300  1144370 24026200604033000   178733   337199     3098725
   1987.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1987.1   111266   223743   388256     ###332427000 33408930   340420   460200   300955  1212531  2421500  3579000  1133430 23693900586811000   183426   343315     3052578
   1987.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1987.2   115729   233559   402655     ###345811000 35998990   347350   471870   309018  1234988  2521900  3639600  1147396 24448700597074000   191884   352804     3107321
   1987.3      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1987.3   119722   236423   385739     ###348533000 38036150   353530   461580   315565  1247324  2506200  3649300  1151912 25017900600903000   194114   346657     3123356
   1987.4      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1987.4   125603   242011   427306     ###372695000 40279550   385610   500500   325890  1296495  2581000  3698000  1212823 26055700649382000   200253   343483     3194543
   1988.1      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1988.1   126614   244372   396895     ###371711000 39813100   397620   483870   330491  1294315  2643500  3642500  1196740 26129900631781000   206271   347123     3279679
   1988.2      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###      ###        ###        ###   1988.2   129231   258182   425148     ###385001000 42078270   402640   488140   336412  1320424  2703700  3688890  1214830 26976900647081000   218262   360861     3324133
