The base currency: U.S. dollar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States,,Australia,Canada,Denmark,UK,Japan,Korea,Norway,Sweden,Switzerland,Austria,Belgium,France,Germany,Spain,Italy,Finland,Netherlands,United States
,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA,,AUS,CAN,DEN,GBR,JPN,KOR,NOR,SWE,CHE,AUT,BEL,FRA,GER,ESP,ITA,FIN,NET,USA
,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,,S_AUS,S_CAN,S_DEN,S_GBR,S_JPN,S_KOR,S_NOR,S_SWE,S_CHE,S_AUT,S_BEL,S_FRA,S_GER,S_ESP,S_ITA,S_FIN,S_NET,S_USA
1973.1,-0.3485419607,-0.0010005003,1.8258387829,-0.9073307105,5.5828570067,5.9887107589,1.77537599,1.5025762707,1.1746469749,3.0281994637,3.6908774568,1.5131912943,1.0432757436,4.0669733654,6.3673291854,1.353254507,1.0799390234,0,1973.1,0.705716302,0.999,6.208,0.403600113,265.83,398.9,5.9025,4.49325,3.237,20.66,40.08,4.5412,2.8385,58.38,582.5,3.87,2.9445,1
1973.2,-0.3485419607,-0.0016012814,1.7387102481,-0.9485642924,5.5808612611,5.9887107589,1.6826883742,1.4085449701,1.0851892683,2.9101743852,3.5849068637,1.4122057429,0.8858315244,4.0625098387,6.370072201,1.2950011027,0.9631743178,0,1973.2,0.705716302,0.9984,5.69,0.3872966692,265.3,398.9,5.38,4.09,2.96,18.36,36.05,4.105,2.425,58.12,584.1,3.651,2.62,1
1973.3,-0.39877612,0.0057832448,1.7457155307,-0.8810779761,5.5823678528,5.9856979522,1.7101878155,1.4355606024,1.1059188639,2.8859174075,3.608211551,1.4469189829,0.881906305,4.0405921062,6.3351429001,1.3107622985,0.9299963789,0,1973.3,0.6711409396,1.0058,5.73,0.4143360265,265.7,397.7,5.53,4.202,3.022,17.92,36.9,4.25,2.4155,56.86,564.05,3.709,2.5345,1
1973.4,-0.3974329364,-0.0042088448,1.8389610707,-0.8429455456,5.6347896032,5.9851949341,1.7452791353,1.5233352134,1.1768071363,2.9882040071,3.7213466443,1.549369386,0.9943622673,4.0421736899,6.4100432944,1.346773603,1.0383313578,0,1973.4,0.6720430108,0.9958,6.29,0.4304407713,280,397.5,5.7275,4.5875,3.244,19.85,41.32,4.7085,2.703,56.95,607.92,3.845,2.8245,1
1974.1,-0.3974329364,-0.0279880365,1.800884377,-0.8729656071,5.6204008657,5.9887107589,1.7001922757,1.4798985411,1.0986122887,2.929592471,3.6622787723,1.5819433781,0.9254486697,4.0814281703,6.4333419412,1.3166762942,0.9878669304,0,1974.1,0.6720430108,0.9724,6.055,0.417710944,276,398.9,5.475,4.3925,3,18.72,38.95,4.8644,2.523,59.23,622.25,3.731,2.6855,1
1974.2,-0.3974329364,-0.0281937344,1.7917594692,-0.8715025491,5.6493262889,5.9889614169,1.6919391339,1.4770487244,1.0979453997,2.9069010598,3.637915053,1.5733754069,0.9380522237,4.0468161018,6.4733041046,1.2867502308,0.9751255176,0,1974.2,0.6720430108,0.9722,6,0.4183225267,284.1,399,5.43,4.38,2.998,18.3,38.0125,4.8229,2.555,57.215,647.62,3.621,2.6515,1
1974.3,-0.2700271372,-0.0143017847,1.8133578688,-0.8468549052,5.6987699328,5.9889614169,1.7110915662,1.495148766,1.080448318,2.9349201342,3.6694417602,1.5563113597,0.9755779892,4.0523065509,6.4929214209,1.3410354547,0.9945472298,0,1974.3,0.7633587786,0.9858,6.131,0.4287613086,298.5,399,5.535,4.46,2.946,18.82,39.23,4.7413,2.6527,57.53,660.45,3.823,2.7035,1
1974.4,-0.2829207554,-0.0088389487,1.7316555452,-0.8537768265,5.706944138,6.1820849067,1.6496197021,1.4062195299,0.932164081,2.8408313123,3.5869159399,1.4916673767,0.8794192571,4.0273496934,6.4760950551,1.267229254,0.9188873577,0,1974.4,0.7535795026,0.9912,5.65,0.4258037045,300.95,484,5.205,4.0805,2.54,17.13,36.1225,4.4445,2.4095,56.112,649.43,3.551,2.5065,1
